,name,place,state,payrate,ex pay,housing,ex housing,taxes,job offer,living cost
75,Killington Mountain Lodge,Killington,vt,11.75,11.75,"['USD 50,00 por pessoa, por semana']",50.0,16.3,,400
76,Dunkin Donuts,Várias cidades,vt,14.0,14.0,"['USD 150,00 por pessoa, por semana.']",150.0,16.3,,400
77,The Lodge at Spruce Peak,Stowe,vt,15.0,15.0,"['USD 140,00 por pessoa, por semana.']",140.0,16.3,,400
78,Great Wolf Lodge,Williamsburg,va,"[16.0, 17.0]",16.25,"['USD 125,00 por semana, por pessoa']",125.0,15.75,,400
79,Sheraton Old Town Alexandria,Alexandria,va,15.0,15.0,"['USD 125,00 por pessoa, por semana.']",125.0,15.75,,400
80,Cracker Barrel,Williamsburg,va,"USD 2,13 + tips a USD 16,00 por hora",16.0,"['USD 100,00 por pessoa, por semana.']",100.0,15.75,,400
81,Snowshoe Mountain Resort,Snowshoe,wv,"[10.0, 15.0]",11.25,"['USD 300,00 a USD 600,00 por pessoa, por mês.']",150.0,16.55,,400
82,Canaan Valley,Devis,wv,"[8.75, 10.0]",9.0625,,,16.55,,400
83,Little Switzerland,Slinger,wi,14.0,14.0,"['USD 75,00 por pessoa, por semana']",75.0,15.43,,400
84,The Vue Boutique Hotel and Restaurant,Wisconsin Dells,wi,12.0,12.0,"['USD 100,00 por pessoa, por semana.']",100.0,15.43,,400
85,Great Wolf Lodge,Wisconsin Dells,wi,"[12.5, 15.5]",13.25,"['USD 95,00 por semana, por pessoa']",95.0,15.43,,400
86,Moosejaw Pizza and Dells Brewing. Restaurant,Wisconsin Dells,wi,10.0,10.0,,,15.43,,400
87,Grand Geneva Resort & Spa,Lake Geneva,wi,12.0,12.0,75,,15.43,,400
88,Chula Vista Resort & Water Park,Wisconsin Dells,wi,11.0,11.0,"['USD 95,00 por semana, por pessoa']",95.0,15.43,,400
89,Kalahari Resorts, Wisconsin Dells,wi,10.0,10.0,"['USD 155,00 por pessoa, por semana.']",155.0,15.43,,400
90,MNEG Concessions inside Mt Olympus,Wisconsin Dells,wi,10.0,10.0,"['USD 100 por pessoa, por semana.']",100.0,15.43,,400
91,McDonalds,Wisconsin,wi,12.0,12.0,['USD 85 por pessoa por semana'],85.0,15.43,,400
92,Cascade Mountain,Portage,wi,"[13.0, 14.0]",13.25,"['USD 70,00 por pessoa, por semana']",70.0,15.43,,400
93,Mt Olympus,Wisconsin Dells,wi,"[11.0, 12.0]",11.25,"['USD 95,00 a USD 100,00 por pessoa, por semana.']",100.0,15.43,,400
94,Wilderness,Wisconsin Dells,wi,"[12.0, 15.0]",12.75,"['USD 95,00 por pessoa, por semana.']",95.0,15.43,,400
95,The Cloudveil,Jsckson,wy,18.55,18.55,"['USD 650,00 por pessoa, por mês.']",162.5,15.36,,400
96,Virginian Lodge,Jackson,wy,"Entre USD 12,00 + tips e USD 19,00 por hora",19.0,,,15.36,,400
97,Snake River Lodge,Jackson Hole,wy,"[18.0, 27.0]",20.25,"['USD 125,00 por pessoa, por semana. Mais detalhes na Job Description;']",125.0,15.36,,400
98,Terra Hotel – At Teton Village,Jackson Hole,wy,17.0,17.0,"['USD 200,00 por pessoa, a cada duas semanas.']",200.0,15.36,,400
99,Mountain Modern Motel,Jackson,wy,"[17.0, 18.0]",17.25,"['USD 650,00 por pessoa, por mês.']",162.5,15.36,,400
100,Grand Targhee Resort,Alta,wy,"[16.0, 17.0]",16.25,"['USD 350,00 a USD 450,00 por pessoa, por mês.']",112.5,15.36,,400
101,Four Seasons Resort Jackson Hole,Teton Village,wy,"Entre USD 10,36 + tips a USD 19,10 por hora",19.1,"['USD 750,00 a USD 900,00 por pessoa, por mês. Mais detalhes na Job Description.']",225.0,15.36,,400
